phase,fold,epoch,loss,accuracy
1.0,1.0,1.0,2.289130687713623,0.09630200308166409
1.0,1.0,2.0,2.26816987991333,0.2259577000224623
1.0,1.0,3.0,2.2330002784729004,0.3429885927501775
1.0,1.0,4.0,2.1907765865325928,0.37731770459691955
1.0,1.0,5.0,2.149113178253174,0.3866046382995535
1.0,1.0,6.0,2.0951120853424072,0.43910421029065094
1.0,1.0,7.0,2.0563347339630127,0.4777721964162642
1.0,1.0,8.0,2.014296233654022,0.50553235398699
1.0,1.0,9.0,1.968322992324829,0.548554421096794
1.0,1.0,10.0,1.9241904616355896,0.5908983671695535
1.0,1.0,11.0,1.9105936288833618,0.7592059931462773
1.0,1.0,12.0,1.864370346069336,0.8216065008437891
1.0,1.0,13.0,1.8534728288650513,0.8549762329174094
1.0,1.0,14.0,1.8035379648208618,0.8873996431757359
1.0,1.0,15.0,1.7810337543487549,0.9126274855088413
1.0,1.0,16.0,1.7834059000015259,0.9299435028248587
1.0,1.0,17.0,1.7415461540222168,0.9297380585516178
1.0,1.0,18.0,1.7189311385154724,0.9297380585516178
1.0,1.0,19.0,1.7028824090957642,0.9299435028248587
1.0,1.0,20.0,1.6889653205871582,0.9299435028248587
1.0,2.0,1.0,1.589915692806244,1.0
1.0,3.0,1.0,1.5944466590881348,0.9669491525423728
1.0,3.0,2.0,1.579239308834076,0.9834910851860004
1.0,3.0,3.0,1.5615593791007996,0.9834910851860004
1.0,3.0,4.0,1.562086820602417,0.9834910851860004
1.0,3.0,5.0,1.5499354004859924,0.9834910851860004
1.0,3.0,6.0,1.5498734712600708,0.9834910851860004
1.0,3.0,7.0,1.5354916453361511,0.9834910851860004
1.0,3.0,8.0,1.5312831401824951,0.9834910851860004
1.0,3.0,9.0,1.526809275150299,0.9834910851860004
1.0,3.0,10.0,1.5251051187515259,0.9834910851860004
1.0,3.0,11.0,1.5266807675361633,0.9834910851860004
1.0,3.0,12.0,1.5234932899475098,0.9834910851860004
1.0,3.0,13.0,1.5182361006736755,0.9834910851860004
1.0,3.0,14.0,1.5148335695266724,0.9834910851860004
1.0,3.0,15.0,1.5149256587028503,0.9834910851860004
1.0,3.0,16.0,1.513279914855957,0.9834910851860004
1.0,3.0,17.0,1.5124468803405762,1.0
1.0,4.0,1.0,1.4844526648521423,1.0
1.0,5.0,1.0,1.4871222376823425,1.0
2.0,1.0,1.0,2.916362206141154,0.19417571283832682
2.0,1.0,2.0,2.795536438624064,0.35014739229024944
2.0,1.0,3.0,2.6889594395955405,0.5401953500351668
2.0,1.0,4.0,2.5839970111846924,0.6018390425999122
2.0,1.0,5.0,2.5212369759877524,0.6336486073042137
2.0,1.0,6.0,2.477915128072103,0.6665606952163016
2.0,1.0,7.0,2.4455196062723794,0.7132467532467531
2.0,1.0,8.0,2.4107491970062256,0.6561722870966566
2.0,1.0,9.0,2.3866264820098877,0.6732067932067931
2.0,1.0,10.0,2.366767326990763,0.6799694423223834
2.0,1.0,11.0,2.340082883834839,0.7368923622960889
2.0,1.0,12.0,2.3301219940185547,0.7681011535048802
2.0,1.0,13.0,2.322643518447876,0.7428200060808756
2.0,1.0,14.0,2.311225652694702,0.7467965367965367
2.0,1.0,15.0,2.2953831354777017,0.7731766103570615
2.0,1.0,16.0,2.2848755518595376,0.7740426490802429
2.0,1.0,17.0,2.2849589188893638,0.8223243423243423
2.0,1.0,18.0,2.281946341196696,0.7798670377241805
2.0,1.0,19.0,2.267012039820353,0.8171181199752628
2.0,1.0,20.0,2.262248675028483,0.7753463203463202
2.0,2.0,1.0,2.2440685431162515,0.897012987012987
2.0,2.0,2.0,2.2234609127044678,0.9177922077922078
2.0,2.0,3.0,2.202107032140096,0.9177922077922078
2.0,2.0,4.0,2.1935510635375977,0.9177922077922078
2.0,2.0,5.0,2.1831351121266684,0.9177922077922078
2.0,2.0,6.0,2.175229628880819,0.9177922077922078
2.0,2.0,7.0,2.170259714126587,0.9177922077922078
2.0,2.0,8.0,2.1618922551472983,0.9177922077922078
2.0,2.0,9.0,2.162558158238729,0.9177922077922078
2.0,2.0,10.0,2.166329781214396,0.9387445887445889
2.0,2.0,11.0,2.1645862261454263,0.9387445887445889
2.0,2.0,12.0,2.1652840773264566,0.9387445887445889
