phase,fold,epoch,loss,accuracy
1.0,1.0,1.0,2.299197196960449,0.07935835351089587
1.0,1.0,2.0,2.2995455265045166,0.063710396823113
1.0,1.0,3.0,2.2925708293914795,0.1266563944530046
1.0,1.0,4.0,2.2894084453582764,0.1911732335461149
1.0,1.0,5.0,2.2841005325317383,0.11615550174872209
1.0,1.0,6.0,2.2767882347106934,0.17547753564702717
1.0,1.0,7.0,2.268538475036621,0.18710210830921872
1.0,1.0,8.0,2.247596263885498,0.2793877497267327
1.0,1.0,9.0,2.2071871757507324,0.21917223612138867
1.0,1.0,10.0,2.1775338649749756,0.22931206380857427
1.0,1.0,11.0,2.1373794078826904,0.30272697498194917
1.0,1.0,12.0,2.0973103046417236,0.28041686905096674
1.0,1.0,13.0,2.0846951007843018,0.37279142702871526
1.0,1.0,14.0,2.002554178237915,0.40645638433327996
1.0,1.0,15.0,1.9937608242034912,0.3262797466187296
1.0,1.0,16.0,1.9378352165222168,0.5107957872414501
1.0,1.0,17.0,1.9114261865615845,0.49790138409280976
1.0,1.0,18.0,1.9176098108291626,0.5539914887372515
1.0,1.0,19.0,1.8542009592056274,0.5793921045167306
1.0,1.0,20.0,1.8757215738296509,0.5330357636859185
1.0,1.0,21.0,1.8295308351516724,0.6247075622948005
1.0,1.0,22.0,1.8340815305709839,0.6580305733517151
1.0,1.0,23.0,1.8259257078170776,0.6665984951129517
1.0,1.0,24.0,1.8033709526062012,0.6500973270664199
1.0,1.0,25.0,1.790812373161316,0.5840953939159322
1.0,1.0,26.0,1.8303395509719849,0.6387227207267087
1.0,1.0,27.0,1.7277463674545288,0.6990491894280527
1.0,1.0,28.0,1.7781187295913696,0.614910513215598
1.0,1.0,29.0,1.7305843830108643,0.6441364166609481
1.0,1.0,30.0,1.7820476293563843,0.6041687790441529
1.0,2.0,1.0,1.6881663799285889,0.8336362706751541
1.0,2.0,2.0,1.686830997467041,0.8126453971419078
1.0,2.0,3.0,1.7107549905776978,0.7667380641956913
1.0,2.0,4.0,1.6637864112854004,0.8080795208359883
1.0,2.0,5.0,1.6448497772216797,0.8603529428423169
1.0,2.0,6.0,1.650941252708435,0.826154851690088
1.0,2.0,7.0,1.640620231628418,0.8495022867904224
1.0,2.0,8.0,1.6262608766555786,0.8417192695476264
1.0,2.0,9.0,1.639286994934082,0.8498189193104447
1.0,2.0,10.0,1.6061640977859497,0.9161478822495772
1.0,2.0,11.0,1.648625135421753,0.8465832850048625
1.0,2.0,12.0,1.656777024269104,0.8588548927531978
1.0,2.0,13.0,1.5960185527801514,0.8990463863214033
1.0,2.0,14.0,1.6806657314300537,0.78682790013797
1.0,2.0,15.0,1.651550054550171,0.7467459094577739
1.0,2.0,16.0,1.6390330791473389,0.8590054013782827
1.0,2.0,17.0,1.6193147897720337,0.8468461858292365
1.0,2.0,18.0,1.6354140043258667,0.8431453115401271
1.0,2.0,19.0,1.6566052436828613,0.7922809853268477
1.0,2.0,20.0,1.6794131994247437,0.7389556770912703
1.0,2.0,21.0,1.606408715248108,0.8958540905200925
1.0,2.0,22.0,1.5959326028823853,0.8650793650793651
1.0,2.0,23.0,1.693717360496521,0.7159855210702669
1.0,2.0,24.0,1.5739949941635132,0.879822155245884
1.0,2.0,25.0,1.6553617715835571,0.7433377412440224
1.0,2.0,26.0,1.6323620080947876,0.8846381490449288
1.0,2.0,27.0,1.6110498905181885,0.8484310605814516
1.0,2.0,28.0,1.660671591758728,0.7826374412117184
1.0,2.0,29.0,1.6509323120117188,0.8259356850084666
1.0,2.0,30.0,1.6092936992645264,0.8615746776763726
1.0,3.0,1.0,1.6167256832122803,0.8020886834446156
1.0,3.0,2.0,1.6778182983398438,0.7172407740702855
1.0,3.0,3.0,1.5758646726608276,0.9351636163721646
1.0,3.0,4.0,1.6211944818496704,0.8473921954742651
1.0,3.0,5.0,1.6302307844161987,0.7885758309487121
1.0,3.0,6.0,1.6207736730575562,0.8156886824148198
1.0,3.0,7.0,1.5904120206832886,0.8992993823502299
1.0,3.0,8.0,1.6333545446395874,0.7773148391084058
1.0,3.0,9.0,1.586201786994934,0.8824331353764793
1.0,3.0,10.0,1.5908504724502563,0.8985031413530812
1.0,3.0,11.0,1.6059558391571045,0.8827113019798122
1.0,3.0,12.0,1.616912603378296,0.8492895052217084
1.0,3.0,13.0,1.641019344329834,0.7812707384513704
1.0,3.0,14.0,1.6512316465377808,0.7529322149750339
1.0,3.0,15.0,1.5960532426834106,0.7885318071758749
1.0,3.0,16.0,1.5846033096313477,0.8881100067540745
1.0,3.0,17.0,1.6030486822128296,0.8834630529545785
1.0,3.0,18.0,1.578503966331482,0.8810662031001014
1.0,3.0,19.0,1.576215147972107,0.8963379766234363
1.0,3.0,20.0,1.6275168657302856,0.889614274060934
1.0,3.0,21.0,1.5613815784454346,0.8643015613887894
1.0,3.0,22.0,1.6489719152450562,0.8239289358033128
1.0,3.0,23.0,1.606737732887268,0.8289521489920293
1.0,3.0,24.0,1.662777304649353,0.8118421374442785
1.0,3.0,25.0,1.6561630964279175,0.7830291177748804
1.0,3.0,26.0,1.5688132047653198,0.9177110520864159
1.0,3.0,27.0,1.609692096710205,0.8764463804606535
1.0,3.0,28.0,1.5852388143539429,0.8693365411474243
1.0,3.0,29.0,1.5888501405715942,0.8836333554442386
1.0,3.0,30.0,1.590367317199707,0.8374070770145704
1.0,4.0,1.0,1.5965120792388916,0.8983475638248164
1.0,4.0,2.0,1.5541104078292847,0.9654128869959638
1.0,4.0,3.0,1.5549267530441284,0.9310414236373202
1.0,4.0,4.0,1.5272812843322754,0.9487645667841922
1.0,4.0,5.0,1.6209807395935059,0.884061849539102
1.0,4.0,6.0,1.6139086484909058,0.8383451566770033
1.0,4.0,7.0,1.663051724433899,0.8159806295399515
1.0,4.0,8.0,1.5552384853363037,0.8979223944328629
1.0,4.0,9.0,1.568547248840332,0.9323441153949629
1.0,4.0,10.0,1.5919833183288574,0.852180255769488
1.0,4.0,11.0,1.5579360723495483,0.9486458498899438
1.0,4.0,12.0,1.602597713470459,0.8169626587110977
1.0,4.0,13.0,1.5651425123214722,0.8792052414186015
1.0,4.0,14.0,1.5869522094726562,0.8388821630347054
1.0,4.0,15.0,1.6079636812210083,0.877771843200557
1.0,4.0,16.0,1.592253565788269,0.8804285681133398
1.0,4.0,17.0,1.5454354286193848,0.8788077451565248
1.0,4.0,18.0,1.5936460494995117,0.884839924670433
1.0,4.0,19.0,1.6297037601470947,0.8645265502194714
1.0,4.0,20.0,1.6298348903656006,0.8319330608463209
1.0,4.0,21.0,1.5233263969421387,0.9493026351188707
1.0,4.0,22.0,1.5673874616622925,0.9001719948379968
1.0,4.0,23.0,1.5596750974655151,0.8975518435375706
1.0,4.0,24.0,1.5808480978012085,0.9177293516276567
1.0,4.0,25.0,1.5973526239395142,0.8841546788206809
1.0,4.0,26.0,1.5563949346542358,0.9348362560226968
1.0,4.0,27.0,1.5869535207748413,0.9314971751412429
1.0,4.0,28.0,1.584121823310852,0.931566028747311
1.0,4.0,29.0,1.608152151107788,0.902209137378629
1.0,4.0,30.0,1.579968810081482,0.88028545941124
1.0,5.0,1.0,1.6188372373580933,0.8452550548392332
1.0,5.0,2.0,1.6757841110229492,0.7550845789226599
1.0,5.0,3.0,1.6116483211517334,0.8246255660048764
1.0,5.0,4.0,1.5945910215377808,0.8614382011947935
1.0,5.0,5.0,1.5933783054351807,0.8621980029981524
1.0,5.0,6.0,1.6199581623077393,0.7765698860526447
1.0,5.0,7.0,1.5935248136520386,0.8780772387049743
1.0,5.0,8.0,1.6011407375335693,0.8646902200441221
1.0,5.0,9.0,1.5913389921188354,0.8299858842508571
1.0,5.0,10.0,1.5836496353149414,0.8799771110115937
1.0,5.0,11.0,1.5934562683105469,0.8266607610981476
1.0,5.0,12.0,1.5623779296875,0.9155510480054091
1.0,5.0,13.0,1.5320837497711182,0.9481406355645706
1.0,5.0,14.0,1.5551549196243286,0.8967118607878724
1.0,5.0,15.0,1.5846405029296875,0.8980166779355421
1.0,5.0,16.0,1.63081693649292,0.7394835050007463
1.0,5.0,17.0,1.657179355621338,0.7735165369012919
1.0,5.0,18.0,1.5972754955291748,0.8666890580683685
1.0,5.0,19.0,1.6153149604797363,0.8643080819871681
1.0,5.0,20.0,1.6134549379348755,0.8634134316983682
1.0,5.0,21.0,1.6271880865097046,0.8476939051482663
1.0,5.0,22.0,1.625559687614441,0.8296465986121159
1.0,5.0,23.0,1.565612554550171,0.929919888540578
1.0,5.0,24.0,1.6424825191497803,0.7955478429616358
1.0,5.0,25.0,1.6039255857467651,0.9136752136752136
1.0,5.0,26.0,1.6085261106491089,0.8267855236468453
1.0,5.0,27.0,1.5776796340942383,0.8752774045877495
1.0,5.0,28.0,1.6156233549118042,0.857669150772599
1.0,5.0,29.0,1.5295590162277222,0.9652758958299686
1.0,5.0,30.0,1.5856982469558716,0.879572917503952
2.0,1.0,1.0,2.948023200035095,0.01098901098901099
2.0,1.0,2.0,2.9355766773223877,0.14048534798534798
