phase,fold,epoch,loss,accuracy,learning_rate,train_loss,val_loss
1.0,1.0,1.0,,0.1321840118450288,0.0001,2.3014632823619436,2.2920331954956055
1.0,1.0,2.0,,0.17582515611061555,0.0001,4.577379244946419,2.281174659729004
1.0,1.0,3.0,,0.20788025533788249,0.0001,6.830378257467392,2.267319917678833
1.0,2.0,1.0,,0.483407671721677,0.0001,2.237782342383202,2.2296273708343506
1.0,2.0,2.0,,0.6020962138268116,0.0001,4.440149912935622,2.2013373374938965
1.0,2.0,3.0,,0.6951304815711595,0.0001,6.598381051611393,2.159691572189331
1.0,3.0,1.0,,0.6476094332318764,0.0001,2.141422765812975,2.0644147396087646
1.0,3.0,2.0,,0.6585363235413085,0.0001,4.232485429276811,2.025684356689453
1.0,3.0,3.0,,0.7776432606941082,0.0001,6.277443154314731,1.9741677045822144
1.0,4.0,1.0,,0.8605730427764327,0.0001,2.0180545106847236,1.9172033071517944
1.0,4.0,2.0,,0.8777069050485644,0.0001,3.9824780352572176,1.8653335571289062
1.0,4.0,3.0,,0.9079536786630609,0.0001,5.894776837369229,1.8177626132965088
1.0,5.0,1.0,,0.8739497675404723,0.0001,1.9008245973263758,1.8042221069335938
1.0,5.0,2.0,,0.9246972770299342,0.0001,3.7474549281395086,1.756981611251831
1.0,5.0,3.0,,0.9466039707419018,0.0001,5.5533185995231245,1.7343899011611938
2.0,1.0,1.0,,0.2755692803437164,0.0001,2.7101411494730194,2.9077041149139404
2.0,1.0,2.0,,0.42082381903810473,0.0001,5.3222829099197115,2.8358609676361084
2.0,1.0,3.0,,0.4320013802622499,0.0001,7.865283034608356,2.786356210708618
2.0,1.0,4.0,,0.4878821241415226,0.0001,10.358374440114558,2.7343204021453857
2.0,2.0,1.0,,0.7158983873269588,0.0001,2.462097338023579,2.611532211303711
2.0,2.0,2.0,,0.6831709956709956,0.0001,4.851703726689875,2.5814144611358643
2.0,2.0,3.0,,0.7363736263736265,0.0001,7.188496200841815,2.5378477573394775
2.0,2.0,4.0,,0.797567194710052,0.0001,9.488049813068896,2.4942901134490967
2.0,3.0,1.0,,0.8031083202511774,0.0001,2.281933822084926,2.43048095703125
2.0,3.0,2.0,,0.8340136054421768,0.0001,4.50787551172318,2.383814573287964
2.0,3.0,3.0,,0.8448450149290486,0.0001,6.698363418647466,2.378528118133545
2.0,3.0,4.0,,0.8840578336597797,0.0001,8.85401543152375,2.3434107303619385
2.0,4.0,1.0,,0.8748934725405314,0.0001,2.1536864020918434,2.3194987773895264
2.0,4.0,2.0,,0.8748934725405314,0.0001,4.262057038618245,2.318775177001953
2.0,4.0,3.0,,0.8956726933197522,0.0001,6.353777946964387,2.2908363342285156
2.0,4.0,4.0,,0.8826984126984128,0.0001,8.419778890507196,2.284308910369873
2.0,5.0,1.0,,0.8138140631746771,0.0001,2.075608798435756,2.2691433429718018
2.0,5.0,2.0,,0.8261179570642487,0.0001,4.122339309964861,2.268895387649536
2.0,5.0,3.0,,0.8897177228379274,0.0001,6.14894426890782,2.2516160011291504
2.0,5.0,4.0,,0.8666747567205234,0.0001,8.158012308393205,2.2556514739990234
3.0,1.0,1.0,,0.20621951887774673,0.0001,3.081245817196597,3.290027141571045
3.0,1.0,2.0,,0.27705196535642906,0.0001,6.016168802407138,3.2041494846343994
3.0,1.0,3.0,,0.37755640274242536,0.0001,8.856864233685148,3.149064064025879
3.0,1.0,4.0,,0.4369947914251712,0.0001,11.62001324459246,3.0709023475646973
3.0,1.0,5.0,,0.504046305312128,0.0001,14.322336288014794,3.0051631927490234
3.0,2.0,1.0,,0.5379786645609431,0.0001,2.688330477210367,2.887953281402588
3.0,2.0,2.0,,0.5669470473267942,0.0001,5.302441080664374,2.861785411834717
3.0,2.0,3.0,,0.6136068572777433,0.0001,7.873722648924323,2.8162693977355957
3.0,2.0,4.0,,0.6434542250997948,0.0001,10.400873682301516,2.7777621746063232
3.0,2.0,5.0,,0.6527262759578472,0.0001,12.901257373724773,2.7439396381378174
3.0,3.0,1.0,,0.6752036517300851,0.0001,2.4925339313069728,2.7102715969085693
3.0,3.0,2.0,,0.6988070132895151,0.0001,4.934960260512723,2.701775550842285
3.0,3.0,3.0,,0.740963727263057,0.0001,7.354478527785866,2.682429075241089
3.0,3.0,4.0,,0.7931601657215952,0.0001,9.751068213942704,2.6915676593780518
3.0,3.0,5.0,,0.7867191713460867,0.0001,12.125071483053219,2.669276475906372
3.0,4.0,1.0,,0.747130647130647,0.0001,2.394842222758702,2.6628425121307373
3.0,4.0,2.0,,0.7023180376687164,0.0001,4.758836719724867,2.647596597671509
3.0,4.0,3.0,,0.7958126840479781,0.0001,7.100623726466345,2.6361308097839355
3.0,4.0,4.0,,0.7967392085039143,0.0001,9.427322340011596,2.632425308227539
3.0,4.0,5.0,,0.8043596925949867,0.0001,11.73996524129595,2.60467529296875
3.0,5.0,1.0,,0.8977078477078476,0.0001,2.331094999161978,2.565582036972046
3.0,5.0,2.0,,0.890690464219876,0.0001,4.638546620474921,2.559577465057373
3.0,5.0,3.0,,0.8904055639349756,0.0001,6.9355988184611,2.5564732551574707
3.0,5.0,4.0,,0.8886298886298888,0.0001,9.217694381683591,2.558490753173828
3.0,5.0,5.0,,0.9268065268065266,0.0001,11.496477789349026,2.5518007278442383
4.0,1.0,1.0,,0.24700929015944498,0.0001,3.3456744978853394,3.5435373783111572
4.0,1.0,2.0,,0.3154734337300127,0.0001,6.511830451468232,3.4178972244262695
4.0,1.0,3.0,,0.3913097999820488,0.0001,9.55482340872119,3.301266670227051
4.0,1.0,4.0,,0.4024510577142156,0.0001,12.509225928411944,3.245558977127075
4.0,1.0,5.0,,0.4735353451587972,0.0001,15.399388663829555,3.1840803623199463
4.0,1.0,6.0,,0.5045750656722019,0.0001,18.233701285829625,3.1381866931915283
4.0,2.0,1.0,,0.5593224240770072,0.0001,2.8341704657665394,3.1025235652923584
4.0,2.0,2.0,,0.5939898920975207,0.0001,5.598313180988301,3.073207139968872
4.0,2.0,3.0,,0.6855503783948491,0.0001,8.32122259167031,3.0387041568756104
4.0,2.0,4.0,,0.6433323891354296,0.0001,11.00535234580972,3.0224616527557373
4.0,2.0,5.0,,0.6860341272707932,0.0001,13.658662785889407,2.993520975112915
4.0,2.0,6.0,,0.6526424253397654,0.0001,16.290033581574306,2.9808905124664307
4.0,3.0,1.0,,0.7060899773132393,0.0001,2.6506529069889737,2.9259469509124756
4.0,3.0,2.0,,0.797118078000431,0.0001,5.268048066877376,2.9232535362243652
4.0,3.0,3.0,,0.7793863333636061,0.0001,7.858278667859438,2.9195516109466553
4.0,3.0,4.0,,0.7913055694305694,0.0001,10.432912113976343,2.9028384685516357
4.0,3.0,5.0,,0.7672872581963491,0.0001,12.992895325698422,2.920100450515747
4.0,3.0,6.0,,0.77215052104758,0.0001,15.541954947056743,2.895202398300171
4.0,4.0,1.0,,0.7452345352016404,0.0001,2.629086821766223,2.9092507362365723
4.0,4.0,2.0,,0.7685905103668261,0.0001,5.217715531419226,2.8950400352478027
4.0,4.0,3.0,,0.7698679161747344,0.0001,7.78835852536778,2.883375406265259
4.0,4.0,4.0,,0.7665739331110143,0.0001,10.345345136135984,2.865785598754883
4.0,4.0,5.0,,0.7618836390217968,0.0001,12.892368824468495,2.875020742416382
4.0,4.0,6.0,,0.7989150104281684,0.0001,15.4315275607136,2.8619816303253174
4.0,5.0,1.0,,0.822643115867152,0.0001,2.5496594865443343,2.8418796062469482
4.0,5.0,2.0,,0.8276454235010384,0.0001,5.0817400277671165,2.845937490463257
4.0,5.0,3.0,,0.8398794835547227,0.0001,7.603536368763379,2.842902421951294
4.0,5.0,4.0,,0.8238157360316453,0.0001,10.116596483241366,2.8351213932037354
4.0,5.0,5.0,,0.8270870858939041,0.0001,12.622600389739214,2.8356359004974365
4.0,5.0,6.0,,0.8247279684032076,0.0001,15.125572814779767,2.827317476272583
5.0,1.0,1.0,,0.24652136336628316,0.0001,3.542598763401022,3.7339653968811035
5.0,1.0,2.0,,0.31691638229071384,0.0001,6.859596099301009,3.6128478050231934
5.0,1.0,3.0,,0.37243216115765143,0.0001,10.057381638351556,3.5282108783721924
5.0,1.0,4.0,,0.38583781538326994,0.0001,13.168287217166622,3.4344875812530518
5.0,1.0,5.0,,0.42272935729873523,0.0001,16.212184193152325,3.3787875175476074
5.0,1.0,6.0,,0.45428645428645426,0.0001,19.207800384732877,3.3352534770965576
5.0,1.0,7.0,,0.4062719547568032,0.0001,22.153956049935942,3.3239173889160156
5.0,2.0,1.0,,0.47627518794078894,0.0001,2.9978468322033245,3.2484402656555176
5.0,2.0,2.0,,0.5230769984917043,0.0001,5.910805690198461,3.238008499145508
5.0,2.0,3.0,,0.5188110766045548,0.0001,8.78158471986689,3.2211110591888428
5.0,2.0,4.0,,0.6237305831423479,0.0001,11.628367185592651,3.1704559326171875
5.0,2.0,5.0,,0.6426648351648352,0.0001,14.446172886591414,3.1817052364349365
5.0,2.0,6.0,,0.6777976190476189,0.0001,17.24278883009173,3.147834062576294
5.0,2.0,7.0,,0.6556851253321841,0.0001,20.019457678350452,3.153988838195801
5.0,3.0,1.0,,0.6272057137427084,0.0001,2.8093810968063586,3.1298298835754395
5.0,3.0,2.0,,0.6738726876873045,0.0001,5.585541105749619,3.1030850410461426
5.0,3.0,3.0,,0.7807684690037632,0.0001,8.342005708109793,3.083672046661377
5.0,3.0,4.0,,0.7022722375663554,0.0001,11.083774384541726,3.1088759899139404
5.0,3.0,5.0,,0.7409643106612803,0.0001,13.821682993491091,3.086484909057617
5.0,3.0,6.0,,0.7559158805148111,0.0001,16.555244903468605,3.079425811767578
5.0,3.0,7.0,,0.7256913120549484,0.0001,19.27847931133443,3.0971481800079346
5.0,4.0,1.0,,0.6620986981694785,0.0001,2.763925125850505,3.07200288772583
5.0,4.0,2.0,,0.6782116032116033,0.0001,5.51094576701447,3.0921428203582764
5.0,4.0,3.0,,0.7193954619785821,0.0001,8.247885955638022,3.079606294631958
5.0,4.0,4.0,,0.6990941075165674,0.0001,10.977574384392206,3.097224473953247
5.0,4.0,5.0,,0.751939783000389,0.0001,13.702762929638427,3.089076519012451
5.0,4.0,6.0,,0.7286411400047762,0.0001,16.421381721544506,3.0894362926483154
5.0,4.0,7.0,,0.7171346531769647,0.0001,19.139606879584154,3.076355218887329
5.0,5.0,1.0,,0.7291695628594025,0.0001,2.7368292916360213,3.0437798500061035
5.0,5.0,2.0,,0.7500069628036605,0.0001,5.454006071665778,3.040379047393799
5.0,5.0,3.0,,0.7140574022926964,0.0001,8.171012778977055,3.0585899353027344
5.0,5.0,4.0,,0.7690080237317314,0.0001,10.87253207537397,3.055116891860962
5.0,5.0,5.0,,0.723860916597102,0.0001,13.576761171446373,3.0483078956604004
5.0,5.0,6.0,,0.7352186665912156,0.0001,16.268554378394505,3.033928155899048
5.0,5.0,7.0,,0.7453269134641684,0.0001,18.96194577576527,3.042463779449463
6.0,1.0,1.0,,0.1522486178449481,0.0001,3.7268762110577627,3.8932042121887207
6.0,1.0,2.0,,0.18305851670665485,0.0001,7.210876665245699,3.769221305847168
6.0,1.0,3.0,,0.3081105541953916,0.0001,10.554525514398458,3.641413927078247
6.0,1.0,4.0,,0.3357337931002259,0.0001,13.795116403922949,3.5616533756256104
6.0,1.0,5.0,,0.38307316596577257,0.0001,16.9682287539871,3.5055103302001953
6.0,1.0,6.0,,0.3644975280161465,0.0001,20.078867047685698,3.4861252307891846
6.0,1.0,7.0,,0.3330983646781445,0.0001,23.147208704220677,3.4644293785095215
6.0,1.0,8.0,,0.3937539696141777,1e-05,26.19266255298345,3.4623138904571533
6.0,2.0,1.0,,0.5655004591368228,0.0001,3.0794805888434476,3.3760344982147217
6.0,2.0,2.0,,0.5238179650827872,0.0001,6.0887328389022235,3.344515085220337
6.0,2.0,3.0,,0.5424122649419092,0.0001,9.068505851988911,3.3256382942199707
6.0,2.0,4.0,,0.6016479371722339,0.0001,12.021201403103005,3.3246724605560303
6.0,2.0,5.0,,0.6407934091426915,0.0001,14.95532364943033,3.3237695693969727
6.0,2.0,6.0,,0.6331173717298119,0.0001,17.874813294356397,3.311251640319824
6.0,2.0,7.0,,0.6414480469025923,0.0001,20.778717006257562,3.3077120780944824
6.0,2.0,8.0,,0.6428572586059217,1e-05,23.684116656796537,3.2997243404388428
6.0,3.0,1.0,,0.624505219660722,0.0001,2.9199219977394053,3.2439982891082764
6.0,3.0,2.0,,0.6591374929418408,0.0001,5.819582080515207,3.242642879486084
6.0,3.0,3.0,,0.7041519086973632,0.0001,8.707439197223115,3.252711296081543
6.0,3.0,4.0,,0.6473373848373848,0.0001,11.579814039221658,3.2747764587402344
6.0,3.0,5.0,,0.7176046176046176,0.0001,14.45109309585328,3.2556545734405518
6.0,3.0,6.0,,0.6769141642671054,0.0001,17.314881417094167,3.2672972679138184
6.0,3.0,7.0,,0.6845615243342515,0.0001,20.171568792338796,3.2552738189697266
6.0,3.0,8.0,,0.6966730239457513,1e-05,23.025468126787956,3.2501649856567383
6.0,4.0,1.0,,0.720950361440792,0.0001,2.8890443966980675,3.223773956298828
6.0,4.0,2.0,,0.7225301169418817,0.0001,5.759964890251942,3.25852108001709
6.0,4.0,3.0,,0.781572594072594,0.0001,8.621299991846628,3.245018720626831
6.0,4.0,4.0,,0.6979994752722026,0.0001,11.47890288248692,3.231912136077881
6.0,4.0,5.0,,0.7136780643598826,0.0001,14.331051950302646,3.2322404384613037
6.0,4.0,6.0,,0.7335471984156193,0.0001,17.1841715680168,3.2282633781433105
6.0,4.0,7.0,,0.7788199665831245,0.0001,20.027932758483367,3.222367763519287
6.0,4.0,8.0,,0.7554579511397693,1e-05,22.870876730981884,3.226665735244751
6.0,5.0,1.0,,0.7247351378987132,0.0001,2.8719389178536154,3.2323546409606934
6.0,5.0,2.0,,0.7616425010877819,0.0001,5.731438771161166,3.2421622276306152
6.0,5.0,3.0,,0.7543578432499669,0.0001,8.580826876380227,3.2260425090789795
6.0,5.0,4.0,,0.7869760048417701,0.0001,11.431876932490956,3.2167234420776367
6.0,5.0,5.0,,0.810706576208465,0.0001,14.280562604557383,3.215595006942749
6.0,5.0,6.0,,0.8309044783211851,0.0001,17.12782951268283,3.209770917892456
6.0,5.0,7.0,,0.8110623415427858,0.0001,19.975632186369463,3.2193398475646973
6.0,5.0,8.0,,0.8153014222091395,1e-05,22.815082545713945,3.2177109718322754
7.0,1.0,1.0,,0.12574375622767392,0.0001,3.8373244178620025,4.04433536529541
7.0,1.0,2.0,,0.17776123732225335,0.0001,7.423551948315443,3.9024529457092285
7.0,1.0,3.0,,0.23429724008265382,0.0001,10.870745743845493,3.7947001457214355
7.0,1.0,4.0,,0.2702238937533055,0.0001,14.22034803876337,3.7079434394836426
7.0,1.0,5.0,,0.3100645387455061,0.0001,17.4942143433249,3.6480660438537598
7.0,1.0,6.0,,0.33514442214132617,0.0001,20.713497444268793,3.585752487182617
7.0,1.0,7.0,,0.3660523486374879,0.0001,23.888463317223316,3.5500094890594482
7.0,1.0,8.0,,0.39571802028549435,1e-05,27.03883058070137,3.5660762786865234
7.0,1.0,9.0,,0.373563612661357,1e-05,30.18394498855063,3.5706682205200195
7.0,1.0,10.0,,0.44569501054703825,1e-05,33.32771580674113,3.570448160171509
7.0,2.0,1.0,,0.44745282013734283,0.0001,3.171986094560763,3.498279571533203
7.0,2.0,2.0,,0.5551774638279828,0.0001,6.286290986482952,3.469978094100952
7.0,2.0,3.0,,0.5646612340260386,0.0001,9.375874657301033,3.4407083988189697
7.0,2.0,4.0,,0.5285362561314119,0.0001,12.443480197238722,3.4596564769744873
7.0,2.0,5.0,,0.5390364795163558,0.0001,15.493208284398046,3.465118885040283
7.0,2.0,6.0,,0.568689783018764,0.0001,18.529086060993826,3.451042652130127
7.0,2.0,7.0,,0.5350523316415555,0.0001,21.554162290861022,3.4592537879943848
7.0,2.0,8.0,,0.5325655974572384,1e-05,24.577989686210202,3.447370767593384
7.0,2.0,9.0,,0.600738334549506,1e-05,27.600781871587724,3.4351046085357666
7.0,2.0,10.0,,0.5804240393971642,1e-05,30.616720746398222,3.438906669616699
7.0,3.0,1.0,,0.6203548181921884,0.0001,3.0392731742380055,3.417980194091797
